date,u
2018-9-3,4
2018-9-4,3
2018-9-5,4
2018-9-6,4
2018-9-7,10
2018-9-8,5
2018-9-9,9
2018-9-10,3
2018-9-11,3
2018-9-12,7
2018-9-13,4
2018-9-14,3
2018-9-15,1
2018-9-16,5
2018-9-17,2
2018-9-19,3
2018-9-20,1
2018-9-21,11
2018-9-22,16
2018-9-23,9
2018-9-24,7
2018-9-25,13
2018-9-26,11
2018-9-27,23
2018-9-28,22
2018-9-29,15
2018-9-30,12
2018-10-1,10
2018-10-2,28
2018-10-3,13
2018-10-4,12
2018-10-5,14
2018-10-6,9
2018-10-7,17
2018-10-8,5
2018-10-9,19
2018-10-10,7
2018-10-11,14
2018-10-12,8
2018-10-13,2
2018-10-14,2
2018-10-15,19
2018-10-16,9
2018-10-17,7
2018-10-18,10
2018-10-19,9
2018-10-20,13
2018-10-21,9
2018-10-22,14
2018-10-23,20
2018-10-24,23
2018-10-25,21
2018-10-26,33
2018-10-27,15
2018-10-28,13
2018-10-29,23
2018-10-30,15
2018-10-31,8
2018-11-1,3
2018-11-2,13
2018-11-3,11
2018-11-4,5
2018-11-4,4
2018-11-5,11
2018-11-6,9
2018-11-7,3
2018-11-8,7
2018-11-9,7
2018-11-10,4
2018-11-11,15
2018-11-12,7
2018-11-13,14
2018-11-14,6
2018-11-15,18
2018-11-16,10
2018-11-17,5
2018-11-18,5
2018-11-19,11
2018-11-20,5
2018-11-21,14
2018-11-22,17
2018-11-24,9
2018-11-25,8
2018-11-26,12
2018-11-27,12
2018-11-28,14
2018-11-29,6
2018-11-30,7
2018-12-1,7
2018-12-2,1
2018-12-3,12
2018-12-4,4
2018-12-5,6
2018-12-6,7
2018-12-8,6
2018-12-9,3
2018-12-10,7
2018-12-11,4
2018-12-12,7
2018-12-13,17
2018-12-14,10
2018-12-15,6
2018-12-16,6
2018-12-17,6
2018-12-18,13
2018-12-19,13
2018-12-20,11
2018-12-21,17
2018-12-22,14
2018-12-23,4
2018-12-24,6
2018-12-25,5
2018-12-26,9
2018-12-27,17
2018-12-28,10
2018-12-29,20
2018-12-30,34
2018-12-31,39
2019-1-1,18
2019-1-2,4
2019-1-3,8
2019-1-4,8
2019-1-5,6
2019-1-6,5
2019-1-7,4
2019-1-8,8
2019-1-9,5
2019-1-10,7
2019-1-11,8
2019-1-12,4
2019-1-13,2
2019-1-14,9
2019-1-15,5
2019-1-16,28
2019-1-17,14
2019-1-18,7
2019-1-19,28
2019-1-20,18
2019-1-21,24
2019-1-22,38
2019-1-23,7
2019-1-24,14
2019-1-25,7
2019-1-26,8
2019-1-27,15
2019-1-28,13
2019-1-29,15
2019-1-30,10
2019-1-31,13
2019-2-1,8
2019-2-2,12
2019-2-3,16
2019-2-4,9
2019-2-5,10
2019-2-6,4
2019-2-7,19
2019-2-8,7
2019-2-9,16
2019-2-10,13
2019-2-11,26
2019-2-12,5
2019-2-13,20
2019-2-14,9
2019-2-15,6
2019-2-16,22
2019-2-17,84
2019-2-18,93
2019-2-19,58
2019-2-20,28
2019-2-21,20
2019-2-22,41
2019-2-23,26
2019-2-24,14
2019-2-25,14
2019-2-26,16
2019-2-27,5
2019-2-28,3
2019-3-1,12
2019-3-2,6
2019-3-3,7
2019-3-4,10
2019-3-5,8
2019-3-6,27
2019-3-7,22
2019-3-8,16
2019-3-9,11
2019-3-11,16
2019-3-12,21
2019-3-13,12
2019-3-14,7
2019-3-15,12
2019-3-16,23
2019-3-17,12
2019-3-18,16
2019-3-19,17
2019-3-20,7
2019-3-21,3
2019-3-22,8
2019-3-23,2
2019-3-24,6
2019-3-25,13
2019-3-26,7
2019-3-27,2
2019-3-28,5
2019-3-29,7
2019-3-30,6
2019-3-31,7
2019-4-1,6
2019-4-2,40
2019-4-3,14
2019-4-4,12
2019-4-5,8
2019-4-6,8
2019-4-7,12
2019-4-8,9
2019-4-9,6
2019-4-10,14
2019-4-11,33
2019-4-12,15
2019-4-13,18
2019-4-14,19
2019-4-15,10
2019-4-16,16
2019-4-17,17
2019-4-18,14
2019-4-19,30
2019-4-20,11
2019-4-21,50
2019-4-22,43
2019-4-23,38
2019-4-24,49
2019-4-25,70
2019-4-26,29
2019-4-27,31
2019-4-28,10
2019-4-29,13
2019-4-30,17
2019-5-1,26
2019-5-2,2
2019-5-3,15
2019-5-4,13
2019-5-5,8
2019-5-6,14
2019-5-7,8
2019-5-8,5
2019-5-9,23
2019-5-10,32
2019-5-11,9
2019-5-12,17
2019-5-13,10
2019-5-14,15
2019-5-15,12
2019-5-16,11
2019-5-17,5
2019-5-18,3
2019-5-19,3
2019-5-20,5
2019-5-21,7
2019-5-22,9
2019-5-23,8
2019-5-24,15
2019-5-25,21
2019-5-26,3
2019-5-27,2
2019-5-28,3
2019-5-29,18
2019-5-30,16
2019-5-31,5
2019-6-1,6
2019-6-2,11
2019-6-3,33
2019-6-4,31
2019-6-5,13
2019-6-6,17
2019-6-7,21
2019-6-8,7
2019-6-9,25
2019-6-10,9
2019-6-11,3
2019-6-12,13
2019-6-13,54
2019-6-14,27
2019-6-15,11
2019-6-16,10
2019-6-17,3
2019-6-18,12
2019-6-19,17
2019-6-20,13
2019-6-21,7
2019-6-22,8
2019-6-23,19
2019-6-24,14
2019-6-25,10
2019-6-26,26
2019-6-27,26
2019-6-28,26
2019-6-29,4
2019-6-30,25
2019-7-1,18
2019-7-2,12
2019-7-3,7
2019-7-4,11
2019-7-5,13
2019-7-6,8
2019-7-7,7
2019-7-8,58
2019-7-9,15
2019-7-10,20
2019-7-11,16
2019-7-12,9
2019-7-13,16
2019-7-14,18
2019-7-15,11
2019-7-16,7
2019-7-17,28
2019-7-18,18
2019-7-19,65
2019-7-20,26
2019-7-21,26
2019-7-22,20
2019-7-23,20
2019-7-24,26
2019-7-25,15
2019-7-26,26
2019-7-27,32
2019-7-28,31
2019-7-29,42
2019-7-30,14
2019-7-31,11
2019-8-1,26
2019-8-2,26
2019-8-3,34
2019-8-4,11
2019-8-5,21
2019-8-6,25
2019-10-2,1116
2019-10-2,1101
2019-10-2,274
